TaxonName	Maximum_longevity	Adult_weight	Size
Cjac	3.56229286445647	-0.443697499232713	19
Psin	4.26126286879249	0.698970004336019	20
Ptig	3.56229286445647	2.07554696139253	390
Mdom	3.26986304055441	-0.978810700930062	15
Hgla	3.79274178583475	-1.45593195564972	13
Mmul	4.16435285578444	0.886490725172482	53.1
Oana	3.91640130360388	0.505041391125465	50
Eeur	3.63047872620264	2.8750612633917	30
Fcat	3.70842090013471	0.732393759822969	76.2
Ocun	3.5165353738958	0.397940008672038	50
Rnor	3.14207646107328	-0.522878745280338	46
Mmus	3.16435285578444	-1.69897000433602	10
Btau	3.86332286012046	2.8750612633917	150
Cpor	4.31816772012897	3	520
Ggal	3.73838412351216	-0.10790539730952	70
Lafr	4.37520622109933	3.68124123737559	400
Cela	4.06060341824608	2.30102999566398	210
Sscr	3.99365662861546	2.11394335230684	200
Clup	3.87616008482563	1.42528961644679	81
Drer	3.10037054511756	-3.15490195998574	5
Xtro	NA	NA	NA
Xlae	3.74556270813928	-0.886056647693163	12
Cmil	3.34044411484012	0.602059991327962	125
Hsap	4.54001646974532	1.79239168949825	170
Ecab	4.31816772012897	2.47712125471966	240
