NodeName	Age	LowerBound	UpperBound
Homo_saPan_pan	6.5	6	7.0
PongGoriHomoPan_	15.5	13	18.0
LophocePapio_p	1.75	-1	4.5
MacLopPapManCer	7.0	6	8.0
CPCCAALBSLCCASCNSHPGHPMLPMCCECAMCPPTSRNP	43.0	36	50.0
CPCCAALBSLCCASC	23.5	20	27.0
NSHPGHPMLPMCCECAMCPPTSRNP	29.0	20	38.0
LorNycArcPerGalOto	40.0	38	42.0
