Pygathrix_cinerea	Pygathrix_cinerea	0.0736562	110368	
Daubentonia_madagascariensis	Otolemur_crassicaudatus	0.0923796	100316	
Daubentonia_madagascariensis	Microcebus_murinus	0.0646982	169535	
Daubentonia_madagascariensis	Daubentonia_madagascariensis	0.778856	1.66772e+06	
Varecia_variegata	Microcebus_murinus	0.211469	93080	
Varecia_variegata	Hapalemur_griseus	0.124555	104394	
Varecia_variegata	Varecia_variegata	0.442832	322924	
Eulemur_rufus	Hapalemur_griseus	0.0979294	110969	
Eulemur_rufus	Eulemur_rufus	0.344902	111278	
Lemur_catta	Hapalemur_griseus	0.244862	111152	
Lemur_catta	Lemur_catta	0.10004	103461	
Hapalemur_griseus	Hapalemur_griseus	0.10004	138196	
Avahi_laniger	Microcebus_murinus	0.0287652	94726.9	
Avahi_laniger	Propithecus_verreauxi	0.260637	125452	
Avahi_laniger	Avahi_laniger	0.277985	182068	
Propithecus_verreauxi	Propithecus_verreauxi	0.277985	460511	
Lepilemur_dorsalis	Microcebus_murinus	0.0809602	102520	
Lepilemur_dorsalis	Lepilemur_dorsalis	0.457662	94829.8	
Cheirogaleus_medius	Microcebus_murinus	0.106218	103537	
Cheirogaleus_medius	Cheirogaleus_medius	0.351444	162280	
Mirza_coquereli	Microcebus_murinus	0.200173	81969.2	
Mirza_coquereli	Mirza_coquereli	0.15127	57012.2	
Microcebus_murinus	Microcebus_murinus	0.15127	124747	
Loris_tardigradus	Otolemur_crassicaudatus	0.377877	142449	
Loris_tardigradus	Perodicticus_potto	0.0348361	161474	
Loris_tardigradus	Nycticebus_coucang	0.218991	141031	
Loris_tardigradus	Loris_tardigradus	0.21185	138177	
Nycticebus_coucang	Nycticebus_coucang	0.21185	54960	
Arctocebus_calabarensis	Perodicticus_potto	0.141961	218850	
Arctocebus_calabarensis	Arctocebus_calabarensis	0.288881	372568	
Perodicticus_potto	Perodicticus_potto	0.288881	168085	
Galago_senegalensis	Otolemur_crassicaudatus	0.25513	186917	
Galago_senegalensis	Galago_senegalensis	0.210548	112866	
Otolemur_crassicaudatus	Otolemur_crassicaudatus	0.210548	199235	
Galeopterus_variegatus	Cynocephalus_volans	0.66884	143727	
Galeopterus_variegatus	Galeopterus_variegatus	0.315187	145608	
Cynocephalus_volans	Cynocephalus_volans	0.315187	155829	
